;language:;Italian;;;;;;;;;;;;;;;;;;;;;;;
54;professionale;24440;0,146266727;;;;;;;;;;;;;;;;;;;;;;
55;numeroso;24395;0,145997415;;;;;;;;;;;;;;;;;;;;;;
56;successivo;22842;0,136703134;;;;;;;;;;;;;;;;;;;;;;
57;intero;22782;0,13634405;;;;;;;;;;;;;;;;;;;;;;
58;basso;22704;0,135877241;;;;;;;;;;;;;;;;;;;;;;
59;terzo;22697;0,135835348;;;;;;;;;;;;;;;;;;;;;;
60;ampio;22697;0,135835348;;;;;;;;;;;;;;;;;;;;;;
61;vario;22686;0,135769516;;;;;;;;;;;;;;;;;;;;;;
62;pieno;22369;0,133872358;;;;;;;;;;;;;;;;;;;;;;
63;vicino;22142;0,132513825;;;;;;;;;;;;;;;;;;;;;;
64;privato;22128;0,132430039;;;;;;;;;;;;;;;;;;;;;;
65;superiore;21846;0,130742346;;;;;;;;;;;;;;;;;;;;;;
66;utile;21618;0,129377828;;;;;;;;;;;;;;;;;;;;;;
67;breve;20938;0,125308213;;;;;;;;;;;;;;;;;;;;;;
68;completo;20730;0,12406339;;;;;;;;;;;;;;;;;;;;;;
69;interno;20471;0,122513346;;;;;;;;;;;;;;;;;;;;;;
70;massimo;20351;0,121795179;;;;;;;;;;;;;;;;;;;;;;
71;scorso;20350;0,121789194;;;;;;;;;;;;;;;;;;;;;;
72;vecchio;20264;0,121274507;;;;;;;;;;;;;;;;;;;;;;
73;speciale;20225;0,121041103;;;;;;;;;;;;;;;;;;;;;;
74;vario|varo;19674;0,117743519;;;;;;;;;;;;;;;;;;;;;;
75;eventuale;19647;0,117581931;;;;;;;;;;;;;;;;;;;;;;
76;precedente;19640;0,117540038;;;;;;;;;;;;;;;;;;;;;;
77;giusto;19434;0,116307184;;;;;;;;;;;;;;;;;;;;;;
78;diretto;19425;0,116253322;;;;;;;;;;;;;;;;;;;;;;
79;comunale;19329;0,115678788;;;;;;;;;;;;;;;;;;;;;;
80;noto;19273;0,115343643;;;;;;;;;;;;;;;;;;;;;;
81;fondamentale;18654;0,111639097;;;;;;;;;;;;;;;;;;;;;;
82;bianco;18641;0,111561296;;;;;;;;;;;;;;;;;;;;;;
83;ricco;18491;0,110663587;;;;;;;;;;;;;;;;;;;;;;
84;giovane;18462;0,110490029;;;;;;;;;;;;;;;;;;;;;;
85;online;18199;0,108916046;;;;;;;;;;;;;;;;;;;;;;
86;civile;17951;0,107431834;;;;;;;;;;;;;;;;;;;;;;
87;difficile;17891;0,10707275;;;;;;;;;;;;;;;;;;;;;;
88;singolo;17770;0,106348598;;;;;;;;;;;;;;;;;;;;;;
89;gratuito;17675;0,105780049;;;;;;;;;;;;;;;;;;;;;;
90;attivo;17665;0,105720202;;;;;;;;;;;;;;;;;;;;;;
91;buon;17636;0,105546645;;;;;;;;;;;;;;;;;;;;;;
92;ulteriore;17362;0,10390683;;;;;;;;;;;;;;;;;;;;;;
93;commerciale;17299;0,103529792;;;;;;;;;;;;;;;;;;;;;;
94;interessante;17188;0,102865487;;;;;;;;;;;;;;;;;;;;;;
95;esterno;17048;0,102027625;;;;;;;;;;;;;;;;;;;;;;
96;attuale;16968;0,101548847;;;;;;;;;;;;;;;;;;;;;;
97;facile;16782;0,100435688;;;;;;;;;;;;;;;;;;;;;;
98;ambientale;16694;0,099909032;;;;;;;;;;;;;;;;;;;;;;
99;ex;16671;0,099771383;;;;;;;;;;;;;;;;;;;;;;
100;medio;16596;0,099322529;;;;;;;;;;;;;;;;;;;;;;
101;chiaro;16506;0,098783903;;;;;;;;;;;;;;;;;;;;;;
102;fisico;16428;0,098317095;;;;;;;;;;;;;;;;;;;;;;
103;moderno;16176;0,096808944;;;;;;;;;;;;;;;;;;;;;;
104;continuo;16168;0,096761066;;;;;;;;;;;;;;;;;;;;;;
105;scientifico;16126;0,096509707;;;;;;;;;;;;;;;;;;;;;;
106;finanziario;16104;0,096378043;;;;;;;;;;;;;;;;;;;;;;
107;reale;15912;0,095228976;;;;;;;;;;;;;;;;;;;;;;
108;pari;15760;0,094319297;;;;;;;;;;;;;;;;;;;;;;
109;pronto;15247;0,091249132;;;;;;;;;;;;;;;;;;;;;;
110;recente;14878;0,089040768;;;;;;;;;;;;;;;;;;;;;;
111;tradizionale;14824;0,088717593;;;;;;;;;;;;;;;;;;;;;;
112;aperto;14770;0,088394417;;;;;;;;;;;;;;;;;;;;;;
113;nero;14762;0,08834654;;;;;;;;;;;;;;;;;;;;;;
114;elettronico;14642;0,087628372;;;;;;;;;;;;;;;;;;;;;;
115;tipico;14473;0,086616954;;;;;;;;;;;;;;;;;;;;;;
116;lontano;14422;0,086311732;;;;;;;;;;;;;;;;;;;;;;
117;finale;14378;0,086048404;;;;;;;;;;;;;;;;;;;;;;
118;scolastico;14348;0,085868863;;;;;;;;;;;;;;;;;;;;;;
119;famoso;14313;0,085659397;;;;;;;;;;;;;;;;;;;;;;
120;ufficiale;14295;0,085551672;;;;;;;;;;;;;;;;;;;;;;
121;minore;14070;0,084205109;;;;;;;;;;;;;;;;;;;;;;
122;centrale;14025;0,083935796;;;;;;;;;;;;;;;;;;;;;;
123;gran;13937;0,08340914;;;;;;;;;;;;;;;;;;;;;;
124;musicale;13910;0,083247552;;;;;;;;;;;;;;;;;;;;;;
125;mondiale;13597;0,081374333;;;;;;;;;;;;;;;;;;;;;;
126;materiale;13575;0,081242669;;;;;;;;;;;;;;;;;;;;;;
127;simile;13570;0,081212745;;;;;;;;;;;;;;;;;;;;;;
128;sportivo;13389;0,080129509;;;;;;;;;;;;;;;;;;;;;;
129;straordinario;13227;0,079159984;;;;;;;;;;;;;;;;;;;;;;
130;industriale;13191;0,078944534;;;;;;;;;;;;;;;;;;;;;;
131;originale;13076;0,07825629;;;;;;;;;;;;;;;;;;;;;;
132;amministrativo;13058;0,078148565;;;;;;;;;;;;;;;;;;;;;;
133;grave;13047;0,078082733;;;;;;;;;;;;;;;;;;;;;;
134;buono|ottimo;13042;0,078052809;;;;;;;;;;;;;;;;;;;;;;
135;operativo;13026;0,077957054;;;;;;;;;;;;;;;;;;;;;;
136;inglese;12921;0,077328657;;;;;;;;;;;;;;;;;;;;;;
137;elettrico;12780;0,076484811;;;;;;;;;;;;;;;;;;;;;;
138;proprio;12532;0,075000598;;;;;;;;;;;;;;;;;;;;;;
139;sanitario;12528;0,07497666;;;;;;;;;;;;;;;;;;;;;;
140;artistico;12461;0,074575683;;;;;;;;;;;;;;;;;;;;;;
141;positivo;12331;0,073797668;;;;;;;;;;;;;;;;;;;;;;
142;classico;12272;0,073444569;;;;;;;;;;;;;;;;;;;;;;
143;perfetto;12171;0,072840112;;;;;;;;;;;;;;;;;;;;;;
144;caro;12156;0,072750341;;;;;;;;;;;;;;;;;;;;;;
145;profondo;12112;0,072487013;;;;;;;;;;;;;;;;;;;;;;
146;ideale;12106;0,072451105;;;;;;;;;;;;;;;;;;;;;;
147;elevato;12092;0,072367319;;;;;;;;;;;;;;;;;;;;;;
148;turistico;12034;0,072020204;;;;;;;;;;;;;;;;;;;;;;
149;rosso;12019;0,071930434;;;;;;;;;;;;;;;;;;;;;;
150;informativo;11667;0,06982381;;;;;;;;;;;;;;;;;;;;;;
151;medesimo;11524;0,068967994;;;;;;;;;;;;;;;;;;;;;;
152;energetico;11521;0,068950039;;;;;;;;;;;;;;;;;;;;;;
153;caldo;11509;0,068878223;;;;;;;;;;;;;;;;;;;;;;
154;dolce;11471;0,068650803;;;;;;;;;;;;;;;;;;;;;;
155;inferiore;11400;0,068225888;;;;;;;;;;;;;;;;;;;;;;
156;valido;11399;0,068219903;;;;;;;;;;;;;;;;;;;;;;
157;apposito;11127;0,066592057;;;;;;;;;;;;;;;;;;;;;;
158;formativo;11094;0,066394561;;;;;;;;;;;;;;;;;;;;;;
159;americano;11005;0,06586192;;;;;;;;;;;;;;;;;;;;;;
160;efficace;11002;0,065843966;;;;;;;;;;;;;;;;;;;;;;
161;capace;10783;0,064533311;;;;;;;;;;;;;;;;;;;;;;
162;minimo;10779;0,064509372;;;;;;;;;;;;;;;;;;;;;;
163;provinciale;10693;0,063994686;;;;;;;;;;;;;;;;;;;;;;
164;sicuro;10672;0,063869006;;;;;;;;;;;;;;;;;;;;;;
165;digitale;10646;0,063713403;;;;;;;;;;;;;;;;;;;;;;
166;aziendale;10631;0,063623632;;;;;;;;;;;;;;;;;;;;;;
167;religioso;10622;0,06356977;;;;;;;;;;;;;;;;;;;;;;
168;totale;10600;0,063438106;;;;;;;;;;;;;;;;;;;;;;
169;normale;10526;0,062995236;;;;;;;;;;;;;;;;;;;;;;
170;complesso;10523;0,062977282;;;;;;;;;;;;;;;;;;;;;;
171;didattico;10439;0,062474565;;;;;;;;;;;;;;;;;;;;;;
172;assoluto;10390;0,062181313;;;;;;;;;;;;;;;;;;;;;;
173;adatto;10366;0,06203768;;;;;;;;;;;;;;;;;;;;;;
174;legato;10234;0,061247696;;;;;;;;;;;;;;;;;;;;;;
175;splendido;10206;0,061080124;;;;;;;;;;;;;;;;;;;;;;
176;innovativo;10193;0,061002322;;;;;;;;;;;;;;;;;;;;;;
177;significativo;10189;0,060978383;;;;;;;;;;;;;;;;;;;;;;
178;doppio;10137;0,060667177;;;;;;;;;;;;;;;;;;;;;;
179;leggero;10080;0,060326048;;;;;;;;;;;;;;;;;;;;;;
180;vivo;10074;0,06029014;;;;;;;;;;;;;;;;;;;;;;
181;produttivo;9925;0,059398415;;;;;;;;;;;;;;;;;;;;;;
182;informatico;9781;0,058536615;;;;;;;;;;;;;;;;;;;;;;
183;preciso;9754;0,058375027;;;;;;;;;;;;;;;;;;;;;;
184;verde;9738;0,058279271;;;;;;;;;;;;;;;;;;;;;;
185;romano;9693;0,058009959;;;;;;;;;;;;;;;;;;;;;;
186;pratico;9459;0,056609532;;;;;;;;;;;;;;;;;;;;;;
187;veloce;9299;0,055651976;;;;;;;;;;;;;;;;;;;;;;
188;contemporaneo;9268;0,05546645;;;;;;;;;;;;;;;;;;;;;;
189;francese;9229;0,055233045;;;;;;;;;;;;;;;;;;;;;;
190;fresco;9202;0,055071458;;;;;;;;;;;;;;;;;;;;;;
191;urbano;9194;0,05502358;;;;;;;;;;;;;;;;;;;;;;
192;agricolo;9186;0,054975702;;;;;;;;;;;;;;;;;;;;;;
193;territoriale;9155;0,054790175;;;;;;;;;;;;;;;;;;;;;;
194;bel;9043;0,054119886;;;;;;;;;;;;;;;;;;;;;;
195;istituto;9034;0,054066024;;;;;;;;;;;;;;;;;;;;;;
196;vasto;9017;0,053964283;;;;;;;;;;;;;;;;;;;;;;
197;militare;8994;0,053826634;;;;;;;;;;;;;;;;;;;;;;
198;concreto;8976;0,053718909;;;;;;;;;;;;;;;;;;;;;;
199;popolare;8939;0,053497474;;;;;;;;;;;;;;;;;;;;;;
200;duro;8939;0,053497474;;;;;;;;;;;;;;;;;;;;;;
;;;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
